,Force / N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time / s,9.99g try 1,9.99g try 2,9.99g try 3,20.18 try 1,20.18 try 2,20.18 try 3,30.26 try 1,30.26 try 2,30.26 try 3,40.31 try 1,40.31 try 2,40.31 try 3,50.48 try 1,50.48 try 2,50.48 try 3,60.51 try 1,60.51 try 2,60.51 try 3,70.59 try 1,70.59 try 2,70.59 try 3,80.81 try 1,80.81 try 2,80.81 try 3,91.21 try 1,91.21 try 2,91.21 try 3,100.95 try 1,100.95 try 2,100.95 try 3
0,0.6706632226,0.8382449929,0.02861833876,1.233332893,0.1889915875,-3.865713343,-0.2496350534,2.0208156,2.66001837,-3.81185845,0.8805922971,-5.461136414,-2.626192501,-0.2036398561,0.7537694672,-2.04826343,-0.0191405435,0.1355695629,0.07926257597,0.1985582787,-0.07129325024,-1.745044709,2.994851501,0.1049212306,2.502335374,-2.134773713,0.502949614,-3.322990882,-0.4627652746,-2.085232093
0.01,0.7321459091,1.250542542,0.9750701162,1.611573903,0.2520890463,-4.286944703,-0.4224675449,2.514291573,3.147435845,-4.559654782,1.035159326,-6.169330939,-3.342880336,-0.5788920833,0.9963840464,-2.587038681,-0.1783515221,0.1682447629,0.09065970462,0.4203227231,-0.240533444,-2.175486019,3.476153562,0.910858017,3.107616433,-2.68507958,1.099070108,-3.823613651,-0.9142037696,-2.534382204
0.02,0.7617335853,1.609395241,1.879488333,1.952408326,0.3094191592,-4.604990782,-0.5887496414,2.96903282,3.586831251,-5.25333147,1.17755215,-6.805503245,-4.028048948,-0.9488000116,1.229470127,-3.105248049,-0.3361446802,0.1995842846,0.1014435624,0.6392154853,-0.4081283047,-2.592867355,3.936587423,1.711328111,3.696294454,-3.221043816,1.689318609,-4.305849115,-1.361206597,-2.971239157
0.03,0.7581373014,1.899466685,2.70288511,2.247924982,0.3596703161,-4.81219632,-0.7459031249,3.37803368,3.971500503,-5.884655098,1.306096131,-7.362226508,-4.675238047,-1.309948672,1.450798689,-3.598771987,-0.4912656279,0.2293393269,0.1115412016,0.8537410703,-0.5729314249,-2.994683075,4.373388989,2.501527333,4.265224314,-3.739803713,2.270541602,-4.767378262,-1.801604924,-3.393683956
0.04,0.7215137251,2.108359995,3.409765256,2.491264571,0.4016928603,-4.90357395,-0.8914913175,3.734993157,4.295574503,-6.446132334,1.419279499,-7.833001408,-5.278345439,-1.659003961,1.65825315,-4.063687184,-0.6424812181,0.2572736674,0.1208843162,1.06243382,-0.7338154936,-3.378520981,4.783936031,3.276713149,4.811366396,-4.238588455,2.839633791,-5.205981653,-2.233261962,-3.799667509
0.05,0.653458316,2.227147627,3.969656411,2.676778885,0.4345253915,-4.876924245,-1.023256862,4.034411998,4.554108684,-6.931098869,1.515771138,-8.212332009,-5.831684569,-1.992743419,1.849849606,-4.496297758,-0.7885893498,0.2831655381,0.1294097045,1.263867928,-0.8896800074,-3.7420768,5.165763937,4.032233129,5.331802829,-4.714733918,3.393554692,-5.619550097,-2.654083333,-4.18722057
0.06,0.5569358221,2.250752916,4.358422651,2.800161911,0.45741676,-4.732888653,-1.139156722,4.27167741,4.743158455,-7.333798517,1.594436239,-8.495789916,-6.330038135,-2.308085983,2.023755806,-4.893164634,-0.9284285241,0.3068093863,0.1370596962,1.456667177,-1.039458798,-4.083168017,5.5165805,4.763552871,5.823753085,-5.165696898,3.929344877,-6.006094792,-3.062027236,-4.554463293
0.07,0.4361511236,2.178167035,4.559304945,2.858549781,0.4698432524,-4.474934063,-1.237393861,4.443134125,4.859839387,-7.64945154,1.654349645,-8.680065976,-6.768707279,-2.602120428,2.178308671,-5.251132885,-1.060887078,0.3280175056,0.1437825426,1.639514346,-1.182127327,-4.399746979,5.834279682,5.466283217,6.284588823,-5.589068698,4.444141783,-6.36375689,-3.455114349,-4.899614348
0.08,0.2963660531,2.01249211,4.56364361,2.850587241,0.4715205728,-4.109269351,-1.316445104,4.54614071,4.902371216,-7.874311376,1.694806732,-8.763008906,-7.143555894,-2.872132246,2.3120302,-5.567356814,-1.18491202,0.3466215271,0.1495327668,1.811160208,-1.316709691,-4.689913185,6.116954257,6.136206593,6.71184794,-5.982587991,4.93519501,-6.690816436,-3.831437433,-5.22099956
0.09,0.1436701704,1.760808646,4.371251615,2.776459111,0.4624103471,-3.644695943,-1.375084754,4.579110266,4.870105013,-8.005709108,1.715331695,-8.74365041,-7.451049622,-3.115628701,2.423641603,-5.839322571,-1.299517405,0.3624737552,0.1542714712,1.970432061,-1.4422853,-4.951924696,6.362907261,6.769302322,7.103247723,-6.344152901,5.399881011,-6.985700641,-4.189170591,-5.517060033
0.1,-0.01528452151,1.433872921,3.990422641,2.637885995,0.4427210009,-3.092395958,-1.412403598,4.541534868,4.76353308,-8.042085146,1.715683147,-8.622216486,-7.688289178,-3.330361849,2.512075533,-6.064868142,-1.403792166,0.3754483407,0.1579666006,2.116241747,-1.557995172,-5.184208593,6.570662179,7.361770757,7.456697043,-6.671832225,5.835717113,-7.246991442,-4.52657812,-5.786359711
0.11,-0.1735733626,1.045657296,3.437573555,2.438084342,0.4129029913,-2.465663069,-1.427823006,4.433993397,4.584281441,-7.983007733,1.695856955,-8.40012478,-7.853037686,-3.514349285,2.576486288,-6.242200533,-1.496907364,0.3854422797,0.1605931592,2.247593081,-1.663047812,-5.385370419,6.738971805,7.910056081,7.77030753,-6.963875753,6.240374777,-7.47343232,-4.842022937,-6.02759234
0.12,-0.3243006997,0.6127530706,2.73653671,2.181691793,0.3736385008,-1.779582519,-1.421103897,4.258142618,4.33508503,-7.829178074,1.656086288,-8.079968044,-7.943741773,-3.665892448,2.616257903,-6.369910025,-1.57812277,0.3923762313,0.1621333796,2.363588659,-1.756724622,-5.55420255,6.866825737,8.410867654,8.042403659,-7.218723612,6.611692043,-7.663934351,-5.133974521,-6.239587809
0.13,-0.460900287,0.1536614145,1.917532575,1.874659529,0.3258258307,-1.050668031,-1.392350452,4.016691656,4.019745968,-7.582422009,1.596838877,-7.665483862,-7.959546211,-3.783592301,2.63101004,-6.446981382,-1.646792757,0.3961951476,0.1625768429,2.463435989,-1.838384821,-5.689691447,6.953456437,8.861199756,8.271531705,-7.435014601,6.947685077,-7.817581431,-5.401016339,-6.421317823
0.14,-0.5774213364,-0.3119973201,1.015866978,1.524114142,0.2705588493,-0.2964643258,-1.342008496,3.713360261,3.643075548,-7.245668347,1.518811515,-7.16151102,-7.900301983,-3.866362243,2.620601622,-6.472801917,-1.702371426,0.3968687105,0.1619205492,2.546452904,-1.907469824,-5.791023735,6.998343838,9.258349631,8.456467507,-7.611593461,7.246558771,-7.93363469,-5.641852718,-6.57190089
0.15,-0.6687877557,-0.7643221223,0.07040913984,1.138192216,0.209101966,0.4648751738,-1.270858585,3.352821502,3.210820825,-6.822914097,1.422921857,-6.573933016,-7.76656769,-3.913438149,2.585132186,-6.447166368,-1.74441695,0.3943915728,0.1601689381,2.612072227,-1.963507066,-5.857591093,7.001218472,9.599933705,8.59622301,-7.747517043,7.506716336,-8.011536042,-5.855315133,-6.690606599
0.16,-0.7310192825,-1.183981838,-0.8780839126,0.7258514665,0.1428612043,1.215025288,-1.180003903,2.940629776,2.729576936,-6.319177033,1.310297634,-5.909609373,-7.55960428,-3.924385417,2.524940928,-6.370278527,-1.772595084,0.3887834001,0.1573338584,2.659845639,-2.006113232,-5.8889939,6.96206308,9.883901897,8.690051544,-7.842059346,7.726767829,-8.050910869,-6.040367876,-6.776859161
0.17,-0.761404879,-1.55304133,-1.78872431,0.2966628236,0.07335203411,1.935930162,-1.070853162,2.483135234,2.206686469,-5.74043613,1.182263386,-5.176295562,-7.281363162,-3.89910298,2.440603464,-6.242749621,-1.786681825,0.3800887153,0.1534344882,2.689446749,-2.034996881,-5.885043638,6.881112722,10.10854991,8.737451811,-7.894715401,7.905537584,-8.051569822,-6.196113081,-6.830240204
0.18,-0.7586208351,-1.855727983,-2.622255944,-0.1394117235,0.002164700794,2.610237865,-0.9450987518,1.987385955,1.650127436,-5.093560605,1.040324886,-4.38255246,-6.934467805,-3.837824246,2.332926318,-6.065593452,-1.786565188,0.3683765445,0.1484972048,2.70067332,-2.049960438,-5.845764021,6.758853363,10.27252949,8.738170568,-7.905203957,8.042070489,-8.013509731,-6.321795081,-6.850490801
0.19,-0.7227884342,-2.079105777,-3.342746729,-0.5722503552,-0.069072157,3.221718041,-0.8046905056,1.461019363,1.06839155,-4.386228379,0.8861514316,-3.537646411,-6.522189002,-3.741114937,2.202939215,-5.840218336,-1.772246101,0.3537398694,0.1425554067,2.693448649,-2.050901549,-5.771390855,6.596018956,10.37485646,8.692203972,-7.873468993,8.135637091,-7.936913623,-6.416804073,-6.837512724
0.2,-0.6554686695,-2.21362814,-3.919137575,-0.9918063616,-0.1387287676,3.755652574,-0.6518054652,0.9121445692,0.4703546563,-3.626834949,0.7215562109,-2.651441046,-6.048414034,-3.609867867,2.051885233,-5.568415913,-1.743838394,0.3362948892,0.1356492873,2.667822098,-2.037813774,-5.662370618,6.393587035,10.4149167,8.599797611,-7.799680014,8.185737492,-7.822149841,-6.48067908,-6.791368925
0.21,-0.5595942414,-2.253545948,-4.326581283,-1.388341339,-0.2052115124,4.199189844,-0.4888141258,0.349217439,-0.134858683,-2.824393739,0.5484749799,-1.734282136,-5.517610009,-3.445294701,1.881208911,-5.2523469,-1.701567897,0.3161800977,0.1278255635,2.623968749,-2.01078664,-5.519357787,6.152772849,10.39246978,8.461445182,-7.684231142,8.192104021,-7.669770268,-6.513110183,-6.712283226
